store_id,metro,region,lat,lon,weekly_demand
STR_ORLAND_04,"Orlando, FL",Southeast,28.4208,-81.5636,3942.0
STR_ORLAND_05,"Orlando, FL",Southeast,28.6108,-81.4004,3207.0
STR_TAMPA_01,"Tampa, FL",Southeast,28.1679,-82.7023,2889.0
STR_TAMPA_02,"Tampa, FL",Southeast,28.0106,-82.4255,3751.0
STR_TAMPA_03,"Tampa, FL",Southeast,27.75,-82.4382,2160.0
STR_TAMPA_04,"Tampa, FL",Southeast,27.9529,-82.6408,3655.0
STR_TAMPA_05,"Tampa, FL",Southeast,27.8745,-82.6726,2422.0
STR_TAMPA_06,"Tampa, FL",Southeast,27.8221,-82.5645,3727.0
STR_TAMPA_07,"Tampa, FL",Southeast,27.9191,-82.4354,3063.0
STR_TAMPA_08,"Tampa, FL",Southeast,27.8513,-82.2151,2869.0
STR_MIAMI_01,"Miami, FL",Southeast,25.839,-80.4381,2447.0
STR_MIAMI_02,"Miami, FL",Southeast,25.9206,-80.2923,
STR_MIAMI_03,"Miami, FL",Southeast,25.8437,-79.9725,3672.0
STR_MIAMI_04,"Miami, FL",Southeast,25.5791,-80.3843,4087.0
STR_MIAMI_05,"Miami, FL",Southeast,25.5655,-80.1654,3647.0
STR_CHARLO_08,"Charlotte, NC",Southeast,35.2154,-80.6333,3857.0
STR_TAMPA_07,"Tampa, FL",Southeast,27.9191,-82.4354,3063.0
STR_BOSTON_01,"Boston, MA",Northeast,42.1394,-71.2743,2981.0
